databaseID,nameSubjectText,nameSubjectURI
3012637,"Great Britain",
3012651,"Great Britain",
3012912,"Catholic Church","http://id.loc.gov/authorities/names/n79041716"
3012990,"Union Pacific Railway Company","http://id.loc.gov/authorities/names/n81029001"
3013069,"Vermont Central Railroad","http://id.loc.gov/authorities/names/n86134574"
3013419,"Five Nations","http://id.loc.gov/authorities/names/n87913847"
3013469,"Chicago, Rock Island and Pacific Railway Company",
3013498,"Union Pacific Railroad Company","http://id.loc.gov/authorities/names/n81029000"
3014027,"Columbia-Philadelphia Railroad","http://id.loc.gov/authorities/names/n85073764"
3014370,"Washington, George, 1732-1799","http://id.loc.gov/authorities/names/n86140996"
3014455,"United States Capitol (Washington, D.C.)","http://id.loc.gov/authorities/subjects/sh85141041"
3014517,"Lafayette, Marie Joseph Paul Yves Roch Gilbert du Motier, marquis de, 1757-1834",
3023782,"Mission San Xavier del Bac (Tucson, Ariz.)",
3023791,"Mission San Xavier del Bac (Tucson, Ariz.)",
3023801,"Mission San Xavier del Bac (Tucson, Ariz.)",
3024112,"Moran, Thomas, 1837-1926",
3024121,"Moran, Thomas, 1837-1926",
3024169,"Mission San Xavier del Bac (Tucson, Ariz.)",
3024221,"Mission San Xavier del Bac (Tucson, Ariz.)",
3024364,"Mission San Xavier del Bac (Tucson, Ariz.)",
3024404,"Mission San Xavier del Bac (Tucson, Ariz.)",
3024412,"Mission San Xavier del Bac (Tucson, Ariz.)",
3024938,"Atchison, Topeka, and Santa Fe Railroad Company",
3025233,"United States. Declaration of Independence",
3025278,"United States. Declaration of Independence",
3025296,"United States. Declaration of Independence",
3025312,"United States. Declaration of Independence",
3025339,"United States. Declaration of Independence",
3025373,"United States. Declaration of Independence",
3025410,"United States. Declaration of Independence",
3025471,"United States. Declaration of Independence",
3025492,"United States. Declaration of Independence",
3025510,"United States. Declaration of Independence",
3025537,"United States. Declaration of Independence",
3025593,"United States. Declaration of Independence",
3025615,"United States. Declaration of Independence",
3025628,"United States. Declaration of Independence",
3025643,"United States. Declaration of Independence",
3025718,"United States. Declaration of Independence",
3025752,"United States. Declaration of Independence",
3025768,"United States. Declaration of Independence",
3025786,"United States. Declaration of Independence",
3025798,"United States. Declaration of Independence",
3025814,"United States. Declaration of Independence",
3025823,"United States. Declaration of Independence",
3025842,"United States. Declaration of Independence",
3025861,"United States. Declaration of Independence",
3025879,"United States. Declaration of Independence",
3025900,"United States. Declaration of Independence",
3025909,"United States. Declaration of Independence",
3025927,"United States. Declaration of Independence",
3025946,"United States. Declaration of Independence",
3025962,"United States. Declaration of Independence",
3025979,"United States. Declaration of Independence",
3025993,"United States. Declaration of Independence",
3026014,"United States. Declaration of Independence",
3026038,"United States. Declaration of Independence",
3026051,"United States. Declaration of Independence",
3026069,"United States. Declaration of Independence",
3026087,"United States. Declaration of Independence",
3026104,"United States. Declaration of Independence",
3026114,"United States. Declaration of Independence",
3026132,"United States. Declaration of Independence",
3026151,"United States. Declaration of Independence",
3026170,"United States. Declaration of Independence",
3026186,"United States. Declaration of Independence",
3026204,"United States. Declaration of Independence",
3026220,"United States. Declaration of Independence",
3026237,"United States. Declaration of Independence",
3026251,"United States. Declaration of Independence",
3026267,"United States. Declaration of Independence",
3026277,"United States. Declaration of Independence",
3026297,"United States. Declaration of Independence",
3026311,"United States. Declaration of Independence",
3026329,"United States. Declaration of Independence",
3026344,"United States. Declaration of Independence",
3026357,"United States. Declaration of Independence",
3026370,"Central Pacific Railroad Company",
3026373,"United States. Declaration of Independence",
3026391,"United States. Declaration of Independence",
3026408,"United States. Declaration of Independence",
3026425,"United States. Declaration of Independence",
3026443,"United States. Declaration of Independence",
3026452,"United States. Declaration of Independence",
3026469,"United States. Declaration of Independence",
3026483,"United States. Declaration of Independence",
3026500,"United States. Declaration of Independence",
3026516,"United States. Declaration of Independence",
3026532,"United States. Declaration of Independence",
3026542,"United States. Declaration of Independence",
3026556,"United States. Declaration of Independence",
3026572,"United States. Declaration of Independence",
3026590,"United States. Declaration of Independence",
3026606,"United States. Declaration of Independence",
3026622,"United States. Declaration of Independence",
3026643,"United States. Declaration of Independence",
3026661,"United States. Declaration of Independence",
3026677,"Central Pacific Railroad Company",
3026681,"United States. Declaration of Independence",
3026691,"Central Pacific Railroad Company",
3026695,"United States. Declaration of Independence",
3026715,"United States. Declaration of Independence",
3026734,"United States. Declaration of Independence",
3026744,"United States. Declaration of Independence",
3026762,"United States. Declaration of Independence",
3026771,"Union Pacific Railroad Company",
3026774,"United States. Declaration of Independence",
3026794,"United States. Declaration of Independence",
3027990,"Pechanga Band of Mission Indians",
3028094,"Watkins, Carleton E., 1829-1916",
3028194,"Mission San Jose (Alameda County, Calif.)",
3028317,"Central Pacific Railroad Company",
3029213,"California Midwinter International Exposition (1894 : San Francisco, Calif.)",
3029226,"California Midwinter International Exposition (1894 : San Francisco, Calif.)",
3029238,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029365,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029407,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029425,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029438,"Mission San Miguel Arcangel (San Miguel, Calif.)",
3029503,"Tournament of Roses",
3029509,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029530,"Ferdinand II, Archduke of Austria, 1529-1595",
3029594,"Maximilian II, Holy Roman Emperor, 1527-1576",
3029630,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029647,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029657,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
3029676,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",
