databaseID,temporalSubjectText,temporalSubjectURI
3012546,"Revolution, 1775-1783",
3012588,"1959-1990",
3012888,"19th century","http://id.loc.gov/authorities/subjects/sh2002012475"
3013112,"Revolution, 1775-1783",
3014513,"Revolution, 1775-1783",
3014525,"Revolution, 1775-1783",
3014620,"War of 1812",
3023193,"To 1899",
3023213,"To 1899",
3023269,"To 1899",
3023277,"To 1899",
3023332,"To 1899",
3033822,"1700-1799",
3034080,"1850-1859",
3035642,"Revolution, 1775-1783",
3035642,"Siege, 1781",
3035727,"Colonial period, ca. 1600-1775",
3035774,"1880-1889",
3038464,"Civil War, 1861-1865",
3056355,"1862",
3111867,"1880-1889",
3111897,"1880-1889",
3111929,"1880-1889",
3112188,"1880-1889",
3115214,"1880-1889",
3115273,"1880-1889",
3115292,"1880-1889",
3115529,"1880-1889",
3115547,"1880-1889",
3115561,"1880-1889",
3115613,"1870-1879",
3115627,"1870-1879",
3115658,"1870-1879",
3115677,"1870-1879",
3115697,"1870-1879",
3115709,"1870-1879",
3115725,"1870-1879",
3115742,"1870-1879",
3116263,"1880-1889",
3116281,"1880-1889",
3116296,"1880-1889",
3116312,"1880-1889",
3116330,"1880-1889",
3116340,"1880-1889",
3116357,"1880-1889",
3116377,"1880-1889",
3116406,"1880-1889",
3116485,"1880-1889",
3132628,"Revolution, 1775-1783",
3132642,"Civil War, 1861-1865",
3132656,"Revolution, 1775-1783",
3132672,"Revolution, 1775-1783",
3132688,"Civil War, 1861-1865",
3132708,"Civil War, 1861-1865",
3132725,"Civil War, 1861-1865",
3132949,"1880-1889",
3133368,"Revolution, 1775-1783",
3133384,"Revolution, 1775-1783",
3133399,"Revolution, 1775-1783",
3133410,"Revolution, 1775-1783",
3133466,"Civil War, 1861-1865",
3133529,"Revolution, 1775-1783",
3133543,"Revolution, 1775-1783",
3133555,"Revolution, 1775-1783",
3136012,"Revolution, 1775-1783",
3136057,"Revolution, 1775-1783",
3136075,"Revolution, 1775-1783",
3136089,"Revolution, 1775-1783",
3136163,"Revolution, 1775-1783",
3136190,"Civil War, 1861-1865",
3136208,"Civil War, 1861-1865",
3136238,"Civil War, 1861-1865",
3136267,"Civil War, 1861-1865",
3136281,"Civil War, 1861-1865",
3136294,"Civil War, 1861-1865",
3136304,"Revolution, 1775-1783",
3136322,"Revolution, 1775-1783",
3136336,"Civil War, 1861-1865",
3199026,"1800-1899",
3207634,"1830-1839",
